geneset	symbol
c2_cp_BIOCARTA_ECM_PATHWAY	ROCK1, SRC, HRAS, PTK2, ITGA1, RAF1, SHC1, GSN, ARHGAP5, MAP2K1, PIK3CA, MYL2, ITGB1, DIAPH1, MYLK, RHOA, TLN1, MAPK3, FYN, PIK3CG, PIK3R1, PXN, PFN1, MAPK1
c2_cp_BIOCARTA_EDG1_PATHWAY	PLCB1, PRKCB, PRKCA, SPHKAP, GNAI1, GNGT1, RHOA, ADCY1, SPHK1, SRC, PTK2, PDGFA, PDGFRA, SMPD2, S1PR1, ITGB3, AKT1, PIK3CA, ASAH1, ITGAV, SMPD1, GNB1, MAPK3, PIK3CG, PIK3R1, RAC1, MAPK1
c2_cp_BIOCARTA_EGF_PATHWAY	JUN, CSNK2A1, SRF, HRAS, MAPK8, STAT3, RAF1, PRKCB, STAT4, EGFR, ELK1, PRKCA, SHC1, STAT1, STAT2, EGF, MAP2K4, MAP3K1, MAP2K1, JAK1, RASA1, PIK3CA, PLCG1, GRB2, STAT5B, MAPK3, STAT5A, FOS, STAT6, PIK3R1, SOS1
c2_cp_BIOCARTA_EGFR_SMRTE_PATHWAY	NCOR2, ZBTB16, MAP3K1, MAPK14, EGFR, MAP2K1, THRB, THRA, RARA, RXRA, EGF
c2_cp_BIOCARTA_EIF_PATHWAY	EEF2, EIF1, EIF2S3, EIF2S1, EIF3A, EIF1AX, EIF6, EIF4G3, EIF4G2, EIF5, EEF2K, EIF4G1, EIF4A1, EIF4A2, EIF4E, EIF2S2
c2_cp_BIOCARTA_EIF2_PATHWAY	EIF5, EIF2AK1, PPP1CA, EIF2S3, GSK3B, EIF2S2, EIF2S1, EIF2B5, EIF2AK2, EIF2AK3, EIF2AK4
c2_cp_BIOCARTA_EIF4_PATHWAY	PTEN, PDK2, PRKCB, MAPK14, PRKCA, PDPK1, GHR, EIF4G3, AKT1, MTOR, PIK3CA, EIF4G2, MKNK1, RPS6KB1, EIF4G1, EIF4A1, EIF4A2, MAPK3, EIF4E, IRS1, EIF4EBP1, PIK3R1, PABPC1, MAPK1
c2_cp_BIOCARTA_EPHA4_PATHWAY	SELP, ITGB1, ITGA1, RAP1B, ACTA1, EPHA4, FYN, EPHB1, LYN, L1CAM
c2_cp_BIOCARTA_EPO_PATHWAY	CSNK2A1, JUN, HRAS, EPO, MAPK8, RAF1, ELK1, SHC1, MAP2K1, JAK2, PLCG1, GRB2, STAT5B, MAPK3, STAT5A, FOS, PTPN6, SOS1, EPOR
c2_cp_BIOCARTA_EPONFKB_PATHWAY	GRIN1, EPO, SOD2, ARNT, RELA, HIF1A, NFKB1, CDKN1A, NFKBIA, JAK2, EPOR
c2_cp_BIOCARTA_ERK_PATHWAY	HRAS, STAT3, RAF1, EGFR, ELK1, SHC1, MKNK2, MKNK1, IGF1R, PTPRR, GNGT1, NGF, PPP2CA, NGFR, SRC, MAP2K2, PDGFRA, RPS6KA5, MAP2K1, GNAS, ITGB1, GNB1, GRB2, MAPK3, MYC, SOS1, MAPK1, RPS6KA1
c2_cp_BIOCARTA_ERK5_PATHWAY	MEF2C, MEF2D, HRAS, MEF2BNB-MEF2B, MEF2A, SHC1, CREB1, AKT1, PIK3CA, PLCG1, GRB2, MAPK3, MAPK7, PIK3CG, NTRK1, PIK3R1, RPS6KA1, MAPK1
c2_cp_BIOCARTA_ERYTH_PATHWAY	CSF2, EPO, IL3, FLT3, IGF1, CCL3, IL1A, TGFB2, TGFB1, KITLG, CSF3, IL6, IL9, TGFB3, IL11
c2_cp_BIOCARTA_ETC_PATHWAY	CYCS, SDHA, SDHD, SDHB, SDHC, SLC25A6, COX1, NDUFA1, ATP5A1, UQCRC1, SLC25A4, GPD2
c2_cp_BIOCARTA_ETS_PATHWAY	JUN, CSF1R, NCOR2, HRAS, CSF1, SIN3A, E2F1, DDX20, E2F4, HDAC5, SIN3B, RBL2, ETS1, HDAC2, RBL1, ETS2, FOS, ETV3
c2_cp_BIOCARTA_EXTRINSIC_PATHWAY	F10, TFPI, F2, F2R, FGG, PROS1, PROC, FGA, SERPINC1, FGB, F3, F5, F7
c2_cp_BIOCARTA_FAS_PATHWAY	CASP10, JUN, PTPN13, CASP8, CASP7, MAPK8, RIPK2, PAK2, SPTAN1, LMNA, LMNB1, MAP2K4, FADD, CFLAR, LMNB2, MAP3K1, PAK1, RB1, CASP6, MAP3K7, CASP3, DAXX, FAS, DFFA, DFFB, FASLG, ARHGDIB, FAF1, PRKDC, PARP1
c2_cp_BIOCARTA_FCER1_PATHWAY	JUN, HRAS, MAPK8, CALM2, NFATC4, RAF1, LOC124827, PRKCB, SHC1, ELK1, CALM1, NFATC3, PAK2, PPP3CC, MAP2K4, SYK, FCER1G, FCER1A, LOC147908, CYCSP35, BTK, PLA2G4A, MAP3K1, MAP2K1, VAV1, MAP2K7, PPP3CB, PPP3CA, PIK3CA, PLCG1, GRB2, MAPK3, CALM3, NFATC2, FOS, NFATC1, PIK3CG, LYN, PIK3R1, SOS1, MAPK1
c2_cp_BIOCARTA_FEEDER_PATHWAY	MPI, HK1, KHK, TREH, PGM1, LCT, TPI1, PYGM, PYGL
c2_cp_BIOCARTA_FIBRINOLYSIS_PATHWAY	F2, CPB2, F2R, FGB, PLAT, FGG, F13A1, SERPINE1, FGA, SERPINB2, PLAU, PLG
c2_cp_BIOCARTA_FMLP_PATHWAY	HRAS, PLCB1, CALM2, CAMK1G, FPR1, NFATC4, RAF1, LOC124827, MAPK14, ELK1, RELA, GNA15, CALM1, NFATC3, PPP3CC, GNGT1, PIK3C2G, LOC147908, CYCSP35, MAP2K2, MAP2K3, MAP3K1, NCF2, MAP2K1, NCF1C, PAK1, MAP2K6, PPP3CB, PPP3CA, GNB1, MAPK3, CALM3, CAMK1, NFATC2, NFKB1, NFATC1, RAC1, NFKBIA, MAPK1
c2_cp_BIOCARTA_FREE_PATHWAY	NOX1, SOD1, GSR, XDH, GSS, GPX1, RELA, TNF, NFKB1, IL8
c2_cp_BIOCARTA_G1_PATHWAY	E2F1, TFDP1, GSK3B, CDKN2A, CDKN1B, CDKN1A, CDK1, TGFB2, CCNA1, CDKN2B, TGFB1, TGFB3, CCND1, CDK2, CDK4, ABL1, RB1, SKP2, TP53, CDK6, DHFR, CDC25A, ATM, ATR, HDAC1, SMAD3, SMAD4, CCNE1
c2_cp_BIOCARTA_G2_PATHWAY	YWHAQ, MYT1, CHEK2, EP300, BRCA1, CHEK1, WEE1, MDM2, CDKN1A, TP53, CDK1, CDKN2D, CDC34, CDC25B, CDC25C, GADD45A, CDC25A, PLK1, ATR, ATM, YWHAH, CCNB1, PRKDC, RPS6KA1
c2_cp_BIOCARTA_GABA_PATHWAY	GPHN, SRC, GABRA5, GABRA6, GABRA3, GABRA4, GABRA1, GABRA2, GABARAP, DNM1
c2_cp_BIOCARTA_GATA3_PATHWAY	IL13, GATA3, MAPK14, MAP2K3, PRKAR2B, PRKACB, PRKACG, JUNB, PRKAR1A, PRKAR2A, PRKAR1B, IL4, NFATC2, IL5, NFATC1, MAF
c2_cp_BIOCARTA_GCR_PATHWAY	CALM2, NOS3, LOC124827, ANXA1, NPPA, RELA, NR3C1, CALM1, CORIN, GNAS, AKT1, ADRB2, PIK3CA, GNGT1, GNB1, HSP90AA1, CALM3, NFKB1, PIK3CG, LOC147908, PIK3R1, CYCSP35
c2_cp_BIOCARTA_GH_PATHWAY	SRF, HRAS, RAF1, PRKCB, PRKCA, SHC1, SLC2A4, SOCS1, HNF1A, INS, PTPN6, MAP2K1, GHR, JAK2, PIK3CA, GH1, PLCG1, GRB2, MAPK3, IRS1, STAT5B, STAT5A, INSR, PIK3CG, PIK3R1, SOS1, MAPK1, RPS6KA1
c2_cp_BIOCARTA_GLEEVEC_PATHWAY	JUN, HRAS, MAPK8, RAF1, MAP3K1, STAT1, MAP2K1, AKT1, JAK2, PIK3CA, MAP2K4, CRKL, GRB2, STAT5B, MAPK3, STAT5A, BCR, BAD, FOS, PIK3CG, PIK3R1, MYC, SOS1
c2_cp_BIOCARTA_GLYCOLYSIS_PATHWAY	HK1, PGAM1, TPI1, PGK1, GAPDH, PKLR, ALDOB, ENO1, GPI, PFKL
c2_cp_BIOCARTA_GPCR_PATHWAY	JUN, HRAS, CALM2, NFATC4, RAF1, LOC124827, PRKCB, ELK1, PRKCA, PRKAR2B, CALM1, NFATC3, PPP3CC, GNAI1, GNGT1, ADCY1, LOC147908, CYCSP35, MAP2K1, GNAQ, PRKACB, PRKACG, GNAS, CREB1, PPP3CB, PPP3CA, RPS6KA3, GNB1, PLCG1, PRKAR1A, PRKAR2A, PRKAR1B, MAPK3, CALM3, NFATC2, FOS, NFATC1
c2_cp_BIOCARTA_GRANULOCYTES_PATHWAY	PECAM1, TNF, IL1A, ITGAL, ITGAM, ICAM1, SELL, SELP, IFNG, SELPLG, C5, ITGB2, CSF3, IL8
c2_cp_BIOCARTA_GSK3_PATHWAY	WNT1, TIRAP, RELA, GSK3B, EIF2AK2, CTNNB1, GNAI1, GJA1, MYD88, FZD1, LBP, TOLLIP, PPP2CA, LEF1, IRAK1, CCND1, APC, PDPK1, LY96, DVL1, AKT1, PIK3CA, CD14, TLR4, AXIN1, NFKB1, PIK3R1
c2_cp_BIOCARTA_HCMV_PATHWAY	MAP2K2, MAPK14, MAP2K3, MAP3K1, RELA, MAP2K1, RB1, CREB1, MAP2K6, SP1, AKT1, PIK3CA, MAPK3, NFKB1, PIK3CG, PIK3R1, MAPK1
c2_cp_BIOCARTA_HDAC_PATHWAY	MEF2C, MEF2D, CALM2, CAMK1G, MEF2BNB-MEF2B, LOC124827, MAPK14, MEF2A, CALM1, IGF1, PPP3CC, HDAC5, IGF1R, INS, LOC147908, CYCSP35, MYOD1, CABIN1, MAP2K6, AKT1, PPP3CB, PPP3CA, PIK3CA, YWHAH, CALM3, INSR, CAMK1, NFATC2, MAPK7, NFATC1, PIK3CG, PIK3R1
c2_cp_BIOCARTA_HER2_PATHWAY	ERBB4, HRAS, IL6R, ERBB3, STAT3, IL6ST, RAF1, SHC1, EP300, EGFR, MAP2K1, ESR1, PIK3CA, CARM1, GRIP1, GRB2, MAPK3, PIK3CG, PIK3R1, IL6, SOS1, MAPK1
c2_cp_BIOCARTA_HIF_PATHWAY	JUN, EPO, NOS3, EP300, HIF1A, VHL, CREB1, P4HB, COPS5, EDN1, ASPH, VEGFA, ARNT, LDHA, HSP90AA1
